,Etablissement,Code de la Formation,Type de Diplôme,Type de formation,Enseignement,Paiement,Intitulé  du Programme,Domaine,Mention,Spécialité,Option
168,UCAD,374,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie informatique, option télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
169,UCAD,368,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie mécanique, option électromécanique",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Electromécanique
170,UCAD,371,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie électrique",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,
171,UCAD,381,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur des ravaux, spécialité génie informatique, télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
172,UCAD,376,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option biologique et sanitaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Biologique et Sanitaire
173,UCAD,377,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option génie chimique",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Chimique
174,UCAD,379,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option industrie alimentaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Industries alimentaires
175,UCAD,378,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,
176,UCAD,380,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
177,UCAD,383,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option biologie appliquée",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Biologie apppliquée
178,UCAD,382,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option industries chimiques et agroalimentaires",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Industries Chimiques et Agroalimentaires
179,UCAD,384,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,
180,UCAD,385,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
181,UCAD,386,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie informatique, option télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
182,UCAD,1,Autre Certificat,Initiale,Présentielle,Non Payante,"Certificat Pratique de Langue Français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,
183,UCAD,2,Diplôme d'Études,Initiale,Présentielle,Non Payante,"Diplôme  d'études de français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,
184,UCAD,3,Autre,Initiale,Présentielle,Non Payante,"Diplôme Supérieur d'Etudes de Français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,
185,UCAD,4,Diplôme de Technicien Supérieur,Initiale,Présentielle,Payante,"Diplôme de technicien supérieur en lettres, langues et arts,mention langues appliquées, spécialité tourisme et langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,
186,UCAD,913,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en Lettres, Langue, Arts, mention Arts et Civilisations, spécialité Métiers des Arts et des Cultures","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,
187,UCAD,654,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en langues, lettres et arts, mention littératures et civilisations, spécialité Langues et civilisations persanes","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations persanes,
188,UCAD,558,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention linguistique et sciences du langage",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,
189,UCAD,35,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes","Lettres, Langues, Arts",Civilisations et littératures,Latin/Grec,
190,UCAD,537,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Linguistique française","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Linguistique française
191,UCAD,536,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Littérature française, francophone et comparée","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,"Littérature française, francophone et comparée"
192,UCAD,535,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option Etudes américaines et caribéennes","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes américaines et caribéennes
193,UCAD,534,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones, option Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
194,UCAD,34,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones, option Etudes britaniques et du Commonwealth","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes britaniques et du Commonwealth
195,UCAD,553,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Espagnol","Lettres, Langues, Arts",Civilisations et littératures,Espagnol,
196,UCAD,547,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Italien","Lettres, Langues, Arts",Civilisations et littératures,Italien,
197,UCAD,546,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Portugais","Lettres, Langues, Arts",Civilisations et littératures,Portugais,
198,UCAD,557,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité linguistique","Lettres, Langues, Arts",Civilisations et littératures,Linguistique,
199,UCAD,556,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité littérature","Lettres, Langues, Arts",Civilisations et littératures,Littérature,
200,UCAD,653,Diplôme de Master,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations arabes","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations arabes,
201,UCAD,5,Diplôme de Licence,Initiale,Présentielle,Payante,"Licence professionnelle en lettres, langues et arts, mention langues appliquées, spécialité tourisme et langues, spécialité tourisme et langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,
202,UCAD,6,Diplôme de Licence,Continue,Présentielle,Payante,"Licence professionnelle en lettres, langues et arts, mention langues appliquées, spécialité traduction et interprétation, option traduction","Lettres, Langues, Arts",Langues appliquées,Traduction et interprétation,Traduction
203,UCAD,36,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence professionnelle en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Etudes africaines et francophones","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Etudes africaines et francophones
204,UCAD,33,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence professionnelle en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,
205,UCAD,698,Diplôme de Master,Initiale,Présentielle,Payante,"Master en Lettres, Langues et Arts, mention Langues appliquées, spécialité Tourisme et Langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,
206,UCAD,49,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option administration culturelle","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Administration culturelle
207,UCAD,51,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option arts du spectacle","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Arts du spectacle
208,UCAD,50,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option arts visuels","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Arts visuels
209,UCAD,52,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option musique","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Musique
210,UCAD,595,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Approche et sémantique duscursive","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Approche et sémantique duscursive
211,UCAD,596,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Langues,Lexicologie  et terminologie","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,"Langues,Lexicologie  et terminologie"
212,UCAD,593,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Linguistique et didactique des langues","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Linguistique et didactique des langues
213,UCAD,594,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Linguistique française et comparative","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Linguistique française et comparative
214,UCAD,589,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option : Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
215,UCAD,38,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option : Etudes britaniques et du Commonwealth","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes britaniques et du Commonwealth
216,UCAD,581,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles option :  littératures et communication interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Littérature et communication interculturelle
217,UCAD,582,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles option : langues et communication interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Langues et communication interculturelles
218,UCAD,592,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, specialité lettres modernes option : Etudes africaines et francophones","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Etudes africaines et francophones
219,UCAD,659,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, specialité lettres modernes option : littérature française francophone et comparée","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,"Littérature française, francophone et comparée"
220,UCAD,660,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option espagnol","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Espagnol
221,UCAD,661,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option italien","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Italien
222,UCAD,662,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option portugais","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Portugais
223,UCAD,684,Diplôme de Master,Initiale,Présentielle,Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations araboislamiques","Lettres, Langues, Arts",Civilisations et littératures,Littératures et civilisations araboislamiques,
224,UCAD,663,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations slaves","Lettres, Langues, Arts",Civilisations et littératures,Littératures et civilisations slaves,
225,UCAD,657,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option : linguistique et grammaire anglaise","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Linguistique et grammaire anglaise
226,UCAD,656,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option :Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
227,UCAD,590,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option :Etudes américaines et caribéennes","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes américaines et caribéennes
228,UCAD,580,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études germaniques interculturelles option : relations germanoafricaines et interculturalités","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Relation germanoafricaines et interculturalité
229,UCAD,658,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres,langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes,option : Grec","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations anciennes,Grec
230,UCAD,39,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres,langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes,option : Latin","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations anciennes,Latin
231,UCAD,483,Autre Certificat,Mixte,Hybride,Non Payante,Certificat d'Aptitude aux fonctions de Conseiller pédagogique (CAFCP),Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Conseiller pédagogique ,
232,UCAD,41,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Anglais
233,UCAD,18,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Espagnol
234,UCAD,19,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  italien",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Italien
235,UCAD,20,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Portugais
236,UCAD,513,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : lettres classiques",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres classiques
237,UCAD,514,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres modernes
238,UCAD,515,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : russe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Russe
239,UCAD,15,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Littératures, Langues et civilisations, Option : Allemand",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Allemand
240,UCAD,17,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: littératures, langues et civilisations, Option :  arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
241,UCAD,29,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option :  Allemand",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Allemand
242,UCAD,30,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option :  Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Anglais
243,UCAD,31,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
244,UCAD,516,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Espagnol
245,UCAD,517,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - italien",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Italien
246,UCAD,518,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Portugais
247,UCAD,27,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : lettres classiques",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres Classique
248,UCAD,28,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres modernes
249,UCAD,32,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : russe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,
250,UCAD,12,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM) Histoire Géograpie-Lettres domianante Lettre. Mention : Langues, Littérature et Civilisations, Option : Lettres/Histoire Géograpie-Lettres",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Histoire Géograpie/Lettres
251,UCAD,14,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention:  littérature, languess et civilisations, Option : lettres/portugais-portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Portugais/Portugais
252,UCAD,8,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Anglais-Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Anglais/Anglais
253,UCAD,9,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Anglais-Lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Anglais/Lettres
254,UCAD,10,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Espagnol-Espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Espagnol/Lettres
255,UCAD,11,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Espagnol-Lettres",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Espagnol/Espagnol
256,UCAD,7,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
257,UCAD,13,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention:Langues, Littérature et Civilisations, Option : lettres/portugais-lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Portugais/Lettres
258,UCAD,481,Certificat d'Aptitude a l'Inspectorat,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité Sciences et techniques de l'administration option Techniques administratives et de secrétariat",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et techniques de l'administration,Techniques administratives et de secrétariat
259,UCAD,482,Certificat d'Aptitude a l'Inspectorat,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité Sciences et technologies d'économie et de gestion",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et technologies d'économie et de gestion,"Sciences et techniques économiques, Techniques quantitatives de gestion, Informatique de gestion, Marketing et Management des Organisations"
260,UCAD,480,Certificat d'Aptitude a l'Inspectorat,Initiale,Présentielle,Non Payante,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité sciences et technologies industrielles",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et technologies industrielles,"Construction mécanique, Electrotechnique, Fabrication mécanique, Maintenance véhicules moteurs, Structures et Ouvrages métalliques, Génie civil, Froid et Climatisation, Techniques agricoles, Techniques horticoles,Informatique, Maintenance industrielle, Ed"
261,UCAD,479,Certificat d'Aptitude a l'Inspectorat,Initiale,Présentielle,Non Payante,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité sciences sociales, option économie familiale",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences sociales,Economie familiale et sociale
262,UCAD,455,Autre Certificat,Non déterminée,Présentielle,Non déterminée,"Certificat d'aptitude à l'inspectorat de l'éducation populaire, de la jeunesse et du sport, spécialité Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, option jeunesse et sport",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation","Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir",Jeunesse et Sport
263,UCAD,462,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : allemand",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Allemand
264,UCAD,463,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : anglais",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Anglais
265,UCAD,464,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Arabe
266,UCAD,465,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : langues romanes, Option : espagnol",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Espagnol
267,UCAD,467,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : langues romanes, Option : italien",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Italien
268,UCAD,473,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : langues romanes, Option : portugais",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Portugais
