Etablissement,Code de la Formation,Type de Diplôme,Type de formation,Enseignement,Paiement,Intitulé  du Programme,Domaine,Mention,Spécialité,Option
UCAD,370,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,aucune
UCAD,373,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
UCAD,374,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie informatique, option télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
UCAD,368,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie mécanique, option électromécanique",Sciences et Technologies,Sciences de l'ingénieur,Génie mécanique,Electromécanique
UCAD,371,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur de conception, spécialité génie électrique",Sciences et Technologies,Sciences de l'ingénieur,Génie électrique,aucune
UCAD,381,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur des ravaux, spécialité génie informatique, télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
UCAD,376,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option biologique et sanitaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Biologique et Sanitaire
UCAD,377,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option génie chimique",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Génie Chimique
UCAD,379,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie agroalimentaire, biologique et chimique, option industrie alimentaire",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Industries alimentaires
UCAD,378,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,aucune
UCAD,380,Diplôme d'Ingénieur,Non déterminée,Présentielle,Non déterminée,"diplôme d'ingénieur technologue, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
UCAD,383,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option biologie appliquée",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Biologie apppliquée
UCAD,382,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie agroalimentaire, biologique et chimique, option industries chimiques et agroalimentaires",Sciences et Technologies,Sciences de l'ingénieur,"Génie agroalimentaire, biologique et chimique",Industries Chimiques et Agroalimentaires
UCAD,384,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie civil",Sciences et Technologies,Sciences de l'ingénieur,Génie civil,aucune
UCAD,385,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie informatique, option informatique",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Informatique
UCAD,386,Autre,Non déterminée,Présentielle,Non déterminée,"diplôme supérieur de technologies, mention sciences de l'ingénieur, spécialité génie informatique, option télécommunications et réseaux",Sciences et Technologies,Sciences de l'ingénieur,génie informatique,Télécommunications et Réseaux
UCAD,1,Autre Certificat,Initiale,Présentielle,Non Payante,"Certificat Pratique de Langue Français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,aucune
UCAD,2,Diplôme d'Études,Initiale,Présentielle,Non Payante,"Diplôme  d'études de français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,aucune
UCAD,3,Autre,Initiale,Présentielle,Non Payante,"Diplôme Supérieur d'Etudes de Français en Lettres, Langues, Arts, mention Linguistique et Science du Langage, spécialité francais Langue étrangère","Lettres, Langues, Arts",Linguistique et Science du Langage,Francais langue étrangère,aucune
UCAD,4,Diplôme de Technicien Supérieur,Initiale,Présentielle,Payante,"Diplôme de technicien supérieur en lettres, langues et arts,mention langues appliquées, spécialité tourisme et langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,aucune
UCAD,913,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en Lettres, Langue, Arts, mention Arts et Civilisations, spécialité Métiers des Arts et des Cultures","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,aucune
UCAD,654,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en langues, lettres et arts, mention littératures et civilisations, spécialité Langues et civilisations persanes","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations persanes,aucune
UCAD,558,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention linguistique et sciences du langage",Sciences de l'Education et de la Formation,Didactique des mathématiques,Non déterminée,aucune
UCAD,35,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes","Lettres, Langues, Arts",Civilisations et littératures,Latin/Grec,aucune
UCAD,537,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Linguistique française","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Linguistique française
UCAD,536,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Littérature française, francophone et comparée","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,"Littérature française, francophone et comparée"
UCAD,535,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option Etudes américaines et caribéennes","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes américaines et caribéennes
UCAD,534,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones, option Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
UCAD,34,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones, option Etudes britaniques et du Commonwealth","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes britaniques et du Commonwealth
UCAD,553,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Espagnol","Lettres, Langues, Arts",Civilisations et littératures,Espagnol,aucune
UCAD,547,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Italien","Lettres, Langues, Arts",Civilisations et littératures,Italien,aucune
UCAD,546,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité Portugais","Lettres, Langues, Arts",Civilisations et littératures,Portugais,aucune
UCAD,557,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité linguistique","Lettres, Langues, Arts",Civilisations et littératures,Linguistique,aucune
UCAD,556,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, specialité littérature","Lettres, Langues, Arts",Civilisations et littératures,Littérature,aucune
UCAD,653,Diplôme de Master,Initiale,Présentielle,Non Payante,"Licence en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations arabes","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations arabes,aucune
UCAD,5,Diplôme de Licence,Initiale,Présentielle,Payante,"Licence professionnelle en lettres, langues et arts, mention langues appliquées, spécialité tourisme et langues, spécialité tourisme et langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,aucune
UCAD,6,Diplôme de Licence,Continue,Présentielle,Payante,"Licence professionnelle en lettres, langues et arts, mention langues appliquées, spécialité traduction et interprétation, option traduction","Lettres, Langues, Arts",Langues appliquées,Traduction et interprétation,Traduction
UCAD,36,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence professionnelle en lettres, langues et arts, mention littérature et civilisations, spécialité lettres modernes option Etudes africaines et francophones","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Etudes africaines et francophones
UCAD,33,Diplôme de Licence,Initiale,Présentielle,Non Payante,"Licence professionnelle en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,aucune
UCAD,698,Diplôme de Master,Initiale,Présentielle,Payante,"Master en Lettres, Langues et Arts, mention Langues appliquées, spécialité Tourisme et Langues","Lettres, Langues, Arts",Langues appliquées,Tourisme et Langues,aucune
UCAD,49,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option administration culturelle","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Administration culturelle
UCAD,51,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option arts du spectacle","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Arts du spectacle
UCAD,50,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option arts visuels","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Arts visuels
UCAD,52,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en arts et civilisations, spécialité art et cultures, option musique","Lettres, Langues, Arts",Arts et Civilisations,Arts et Cultures,Musique
UCAD,595,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Approche et sémantique duscursive","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Approche et sémantique duscursive
UCAD,596,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Langues,Lexicologie  et terminologie","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,"Langues,Lexicologie  et terminologie"
UCAD,593,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Linguistique et didactique des langues","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Linguistique et didactique des langues
UCAD,594,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention linguistique et sciences du langage option : Linguistique française et comparative","Lettres, Langues, Arts",Linguistique et Science du Langage,Linguistique et Science du Langage,Linguistique française et comparative
UCAD,589,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option : Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
UCAD,38,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études anglophones option : Etudes britaniques et du Commonwealth","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes britaniques et du Commonwealth
UCAD,581,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles option :  littératures et communication interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Littérature et communication interculturelle
UCAD,582,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littérature et civilisations, spécialité études germaniques interculturelles option : langues et communication interculturelles","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Langues et communication interculturelles
UCAD,592,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, specialité lettres modernes option : Etudes africaines et francophones","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,Etudes africaines et francophones
UCAD,659,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, specialité lettres modernes option : littérature française francophone et comparée","Lettres, Langues, Arts",Civilisations et littératures,Lettres modernes,"Littérature française, francophone et comparée"
UCAD,660,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option espagnol","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Espagnol
UCAD,661,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option italien","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Italien
UCAD,662,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité langues romanes, option portugais","Lettres, Langues, Arts",Civilisations et littératures,Langues romanes,Portugais
UCAD,684,Diplôme de Master,Initiale,Présentielle,Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations araboislamiques","Lettres, Langues, Arts",Civilisations et littératures,Littératures et civilisations araboislamiques,aucune
UCAD,663,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts, mention littératures et civilisations, spécialité littératures et civilisations slaves","Lettres, Langues, Arts",Civilisations et littératures,Littératures et civilisations slaves,aucune
UCAD,657,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option : linguistique et grammaire anglaise","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Linguistique et grammaire anglaise
UCAD,656,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option :Etudes africaines et postcoloniales","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes africaines et postcoloniales
UCAD,590,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études anglophones option :Etudes américaines et caribéennes","Lettres, Langues, Arts",Civilisations et littératures,Etudes anglophones,Etudes américaines et caribéennes
UCAD,580,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres, langues et arts,mention littérature et civilisations, spécialité études germaniques interculturelles option : relations germanoafricaines et interculturalités","Lettres, Langues, Arts",Civilisations et littératures,Etudes germaniques interculturelles,Relation germanoafricaines et interculturalité
UCAD,658,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres,langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes,option : Grec","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations anciennes,Grec
UCAD,39,Diplôme de Master,Initiale,Présentielle,Non Payante,"Master en lettres,langues et arts, mention littérature et civilisations, spécialité langues et civilisations anciennes,option : Latin","Lettres, Langues, Arts",Civilisations et littératures,Langues et civilisations anciennes,Latin
UCAD,483,Autre Certificat,Mixte,Hybride,Non Payante,Certificat d'Aptitude aux fonctions de Conseiller pédagogique (CAFCP),Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Conseiller pédagogique ,aucune
UCAD,41,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Anglais
UCAD,18,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Espagnol
UCAD,19,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  italien",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Italien
UCAD,20,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : langues romanes -  portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Portugais
UCAD,513,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : lettres classiques",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres classiques
UCAD,514,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres modernes
UCAD,515,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Langues, Littérature et Civilisations, Option : russe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Russe
UCAD,15,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: Littératures, Langues et civilisations, Option : Allemand",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Allemand
UCAD,17,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Moyen (CAEM), Mention: littératures, langues et civilisations, Option :  arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
UCAD,29,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option :  Allemand",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Allemand
UCAD,30,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option :  Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Anglais
UCAD,31,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
UCAD,516,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Espagnol
UCAD,517,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - italien",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Italien
UCAD,518,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : langues romanes - portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Portugais
UCAD,27,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : lettres classiques",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres Classique
UCAD,28,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres modernes
UCAD,32,Certificat d'Aptitude a l'Enseignement,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement Secondaire (CAES), Mention: Langues, Littérature et Civilisations, Option : russe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,aucune
UCAD,12,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM) Histoire Géograpie-Lettres domianante Lettre. Mention : Langues, Littérature et Civilisations, Option : Lettres/Histoire Géograpie-Lettres",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Histoire Géograpie/Lettres
UCAD,14,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention:  littérature, languess et civilisations, Option : lettres/portugais-portugais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Portugais/Portugais
UCAD,8,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Anglais-Anglais",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Anglais/Anglais
UCAD,9,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Anglais-Lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Anglais/Lettres
UCAD,10,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Espagnol-Espagnol",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Espagnol/Lettres
UCAD,11,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : Lettres/Espagnol-Lettres",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Espagnol/Espagnol
UCAD,7,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention: langues, littératures et civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Arabe
UCAD,13,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d'Aptitude à l'Enseignement dans les Collèges d'Enseignement Moyen  (CAE-CEM), Mention:Langues, Littérature et Civilisations, Option : lettres/portugais-lettres modernes",Sciences de l'Education et de la Formation,"Langues, Littératures et Civilisations",Enseignement,Lettres-Portugais/Lettres
UCAD,481,Certificat d'Aptitude a l'Inspectorat,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité Sciences et techniques de l'administration option Techniques administratives et de secrétariat",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et techniques de l'administration,Techniques administratives et de secrétariat
UCAD,482,Certificat d'Aptitude a l'Inspectorat,Non déterminée,Présentielle,Non déterminée,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité Sciences et technologies d'économie et de gestion",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et technologies d'économie et de gestion,"Sciences et techniques économiques, Techniques quantitatives de gestion, Informatique de gestion, Marketing et Management des Organisations"
UCAD,480,Certificat d'Aptitude a l'Inspectorat,Initiale,Présentielle,Non Payante,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité sciences et technologies industrielles",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences et technologies industrielles,"Construction mécanique, Electrotechnique, Fabrication mécanique, Maintenance véhicules moteurs, Structures et Ouvrages métalliques, Génie civil, Froid et Climatisation, Techniques agricoles, Techniques horticoles,Informatique, Maintenance industrielle, Ed"
UCAD,479,Certificat d'Aptitude a l'Inspectorat,Initiale,Présentielle,Non Payante,"Certificat d'Aptitude à l'Inspectorat de Spécialité, spécialité sciences sociales, option économie familiale",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Sciences sociales,Economie familiale et sociale
UCAD,455,Autre Certificat,Non déterminée,Présentielle,Non déterminée,"Certificat d'aptitude à l'inspectorat de l'éducation populaire, de la jeunesse et du sport, spécialité Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir, option jeunesse et sport",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation","Sciences et Techniques des Activités Physiques, sportives, de jeunesse et du loisir",Jeunesse et Sport
UCAD,462,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : allemand",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Allemand
UCAD,463,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : anglais",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Anglais
UCAD,464,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : arabe",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Arabe
UCAD,465,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : langues romanes, Option : espagnol",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Espagnol
UCAD,467,Autre Certificat,Mixte,Hybride,Non Payante,"Certificat d’Aptitude à l’Inspectorat de l’Enseignement moyen et secondaire (CAIEMS), Spécialité : inspectorat langues, littératures et civilisations, Option : langues romanes, Option : italien",Sciences de l'Education et de la Formation,"Encadrement,gestion et Administration de l'éducation et de le formation",Inspectorat de l’Enseignement moyen et secondaire,Italien
